epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,3465.64,1.25084,1.39147,1.53622,0.89099,0.85643,0.92809,0.61283,1.16175,0.71031,1.44154,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3540.46,1.25082,1.4021,1.53362,0.88681,0.8596,0.92842,0.61841,1.15161,0.70728,1.42917,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3615.13,1.24518,1.38587,1.52883,0.89543,0.86572,0.93447,0.62148,1.15365,0.68212,1.42751,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3689.83,1.24305,1.37349,1.52492,0.90019,0.86427,0.93612,0.62776,1.13565,0.68348,1.41267,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3764.58,1.23784,1.36864,1.52496,0.90169,0.87139,0.93875,0.62641,1.14646,0.67284,1.41581,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3839.31,1.23632,1.35613,1.52022,0.90613,0.87866,0.94342,0.63391,1.13189,0.65901,1.40973,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3914.05,1.22836,1.33253,1.51635,0.90987,0.87648,0.9436,0.63596,1.12993,0.65709,1.40599,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3988.73,1.22092,1.32556,1.51073,0.91617,0.87897,0.94554,0.64106,1.1148,0.64671,1.39187,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4063.48,1.22409,1.32537,1.51287,0.91179,0.88811,0.9499,0.64229,1.12285,0.63585,1.39414,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4138.08,1.22745,1.32085,1.50525,0.91596,0.88662,0.95098,0.64786,1.10616,0.63206,1.3827,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4212.58,1.21867,1.31195,1.50731,0.91943,0.88739,0.95189,0.64862,1.10205,0.62537,1.3786,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4287.22,1.21067,1.28445,1.49695,0.9191,0.89421,0.95435,0.65025,1.09985,0.61562,1.37296,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4362.02,1.21564,1.29232,1.50141,0.91944,0.89276,0.95491,0.65194,1.09863,0.61596,1.3721,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4436.66,1.20902,1.27552,1.49543,0.9187,0.89378,0.95485,0.65562,1.08991,0.61187,1.36219,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4511.28,1.20773,1.27057,1.49556,0.92287,0.89556,0.95644,0.65787,1.08423,0.60682,1.36143,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4585.94,1.20012,1.27376,1.49258,0.92427,0.89693,0.95835,0.66082,1.0782,0.5964,1.35507,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4660.67,1.20182,1.26958,1.49497,0.92761,0.89772,0.95931,0.66317,1.07541,0.59416,1.35296,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4735.26,1.19641,1.25655,1.4879,0.92256,0.90628,0.96113,0.66507,1.06778,0.58735,1.34667,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4809.92,1.20231,1.24129,1.49148,0.927,0.90419,0.96166,0.66869,1.05914,0.58435,1.34195,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4884.52,1.19021,1.2354,1.48044,0.93024,0.908,0.96398,0.67164,1.05636,0.57624,1.33779,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4959.22,1.18703,1.22163,1.47751,0.93172,0.90586,0.96383,0.67117,1.05306,0.57712,1.33418,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5033.8,1.18795,1.23786,1.48488,0.93279,0.90851,0.96499,0.6719,1.05773,0.57131,1.33646,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5108.29,1.17838,1.20125,1.47177,0.93276,0.91213,0.96603,0.67512,1.04989,0.56257,1.3307,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5182.87,1.17912,1.20338,1.47258,0.93435,0.91407,0.96696,0.67747,1.04368,0.55831,1.32358,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
